fonts-filesystem 2.0.5
librabbitmq 0.13.0
libshout 2.4.6
libadwaita-qt6 1.4.2
libssh2 1.11.0
libzip 1.10.1
nmap-ncat 7.93
pkcs11-helper 1.29.0
NetworkManager-openvpn 1.10.2
python3-pycurl 7.45.2
satyr 0.42
libreport 2.17.11
abrt-libs 2.17.1
libreport-web 2.17.11
libreport-plugin-ureport 2.17.11
libreport-plugin-reportuploader 2.17.11
libreport-cli 2.17.11
libreport-fedora 2.17.11
libreport-plugin-logger 2.17.11
libmodulemd 2.15.0
containers-common 1
containers-common-extra 1
color-filesystem 1
colord 1.4.6
libreport-plugin-kerneloops 2.17.11
libreport-plugin-systemd-journal 2.17.11
python3-satyr 0.42
deltarpm 3.6.3
libappstream-glib 0.8.2
librepo 1.17.0
libdnf 0.72.0
PackageKit 1.2.6
python3-libdnf 0.72.0
python3-hawkey 0.72.0
python3-simpleline 1.9.0
rsync 3.2.7
thrift 0.15.0
xmlsec1-openssl 1.2.37
genisoimage 1.1.11
initscripts-rename-device 10.19
initscripts 10.19
zfs-fuse 0.7.2.2
sound-theme-freedesktop 0.8
libcanberra 0.30
gsound 1.0.3
urw-base35-bookman-fonts 20200910
urw-base35-c059-fonts 20200910
urw-base35-d050000l-fonts 20200910
urw-base35-gothic-fonts 20200910
urw-base35-nimbus-mono-ps-fonts 20200910
urw-base35-nimbus-roman-fonts 20200910
urw-base35-nimbus-sans-fonts 20200910
urw-base35-p052-fonts 20200910
urw-base35-standard-symbols-ps-fonts 20200910
urw-base35-z003-fonts 20200910
urw-base35-fonts 20200910
libsane-airscan 0.99.27
sane-airscan 0.99.27
sane-backends 1.2.1
sane-backends-drivers-scanners 1.2.1
sane-backends-libs 1.2.1
sane-backends-drivers-cameras 1.2.1
libvncserver 0.9.13
ntfsprogs 2022.10.3
udisks2 2.10.1
udisks2-iscsi 2.10.1
srt-libs 1.5.3
libwsman1 2.7.1
libvirt-glib 4.0.0
libvirt-gobject 4.0.0
libbabeltrace 1.5.11
python3-pwquality 1.4.5
device-mapper-multipath-libs 0.9.5
gom 0.4
libcap-ng-python3 0.8.3
power-profiles-daemon 0.13
python3-argcomplete 2.0.0
swtpm 0.8.1
swtpm-selinux 0.8.1
swtpm-tools 0.8.1
python3-click 8.1.3
fedora-third-party 0.10
python3-crypto 2.6.1
python3-file-magic 5.44
python3-humanize 3.13.1
python3-louis 3.25.0
python3-lxml 4.9.3
python3-markupsafe 2.1.3
python3-nftables 1.0.7
python3-olefile 0.46
python3-packaging 23.1
python3-ply 3.11
python3-pycparser 2.20
python3-cffi 1.15.1
python3-augeas 1.1.0
python3-cryptography 41.0.3
python3-pyOpenSSL 23.2.0
python3-ptyprocess 0.7.0
python3-pexpect 4.8.0
python3-pysocks 1.7.1
python3-requests 2.28.2
python3-libreport 2.17.11
abrt-dbus 2.17.1
python3-abrt 2.17.1
abrt 2.17.1
abrt-addon-kerneloops 2.17.1
abrt-addon-ccpp 2.17.1
libreport-plugin-bugzilla 2.17.11
abrt-addon-pstoreoops 2.17.1
abrt-addon-vmcore 2.17.1
abrt-addon-xorg 2.17.1
abrt-plugin-bodhi 2.17.1
python3-abrt-addon 2.17.1
python3-meh 0.51
libreport-anaconda 2.17.11
abrt-tui 2.17.1
python3-kickstart 3.48
python3-requests-file 1.5.1
python3-requests-ftp 0.3.1
anaconda-tui 39.32.6
anaconda-core 39.32.6
python3-pyxdg 0.27
python3-pyyaml 6.0.1
python3-simpleaudio 1.0.4
python3-soupsieve 2.5
python3-tempita 0.5.2
python3-paste 3.5.3
python3-beaker 1.12.1
python3-mako 1.2.3
vapoursynth-libs 63
